"is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","is een handelsmerk van Magento Inc. Copyright &copy;%s Magento Inc."
"Log in to Admin Panel","Inloggen Admin Panel"
"Use TiG Admin Theme","Schakel het TiG Admin Thema in"
"Override default admin theme.","Overschrijf standaard admin thema."
"The TiG Admin Theme","Het TiG Admin Thema"
"Manage TiG Admin Theme","Beheer TiG Admin Thema"
"Go to Front-end","Ga naar Front-end"
"Welcome, please sign in","Welkom, log hier in"
"Override default admin theme. <br /><br /> Enterprise Edition: v1.14 <br /> Community Edition: v1.9 <br /><br /> IE9 and above <br /><br /> Log off and in to complete the installation process.","Overschrijf het standaard admin thema. <br /><br /> Enterprise Edition: v1.14 <br /> Community Edition: v1.9 <br /><br /> IE9 en hoger <br /><br /> Log uit en in om het installatieproces te voltooien."
